카테고리,바코드,제조사,상품명,제품 재질 1,제품 재질 2,제품 재질 3
요구르트,8809762120115,스위트바이오,_그릭데이그릭요거트라이트_100G,플라스틱,,
요구르트,8801115215349,서울우유협동조합,짜요짜요복숭아 240G,비닐류,,
요구르트,8801121765371,매일유업,상하 유기농베이비 딸기바나나 85G*4,플라스틱,비닐류,
요구르트,8801104242189,빙그레,빙그레_요플레플레인_85G*4,플라스틱,비닐류,
요구르트,8801104301213,빙그레,빙그레 플레인화이트 대 900g,플라스틱,,
요구르트,8809274510145,풀무원다논,풀무원 다논 액티비아사과 130ml*4,플라스틱,,
요구르트,8801128281904,hy,hy 원조 야쿠르트 1971 450ml,플라스틱,,
요구르트,8801207141273,롯데푸드,파스퇴르 오직 우유 100% 요구르트 대용량 400g,플라스틱,,
요구르트,8801155469917,동원에프앤비,동원F&B 소와나무 요러브생크림 85g*4,플라스틱,비닐류,
요구르트,8801104672542,빙그레,빙그레_요플레살구맛_85G*4,플라스틱,비닐류,
요구르트,8809223960045,신앙촌식품,신앙촌 런 요구르트 12입 120ML*12입,플라스틱,,
요구르트,8801104273459,빙그레,빙그레 바이오플레사과 140ml*4,플라스틱,,
요구르트,8801115214700,서울우유협동조합,서울우유 더진한 플레인 요거트 스위트 1.8L,플라스틱,,
요구르트,8801104242172,빙그레,빙그레 요플레오리지널플레인 85g*4,플라스틱,비닐류,
요구르트,8801128240215,hy,한국야쿠르트 거꾸로 먹는야쿠르트 110ml*4,플라스틱,,
요구르트,8809274511333,풀무원다논,풀무원 다논 그릭요거트플레인 450g,플라스틱,,
요구르트,8809274511128,풀무원다논,풀무원 다논 그릭요거트 기획 95g*8,플라스틱,비닐류,
요구르트,88010717,hy,한국야쿠르트 프리미엄 라이트 100ml*5,플라스틱,,
요구르트,8809520490634,요즘,요즘 플레인 그릭요거트 블루베리 콩포트 100G,플라스틱,,
요구르트,8801121768389,매일유업,매일유업 상하목장 유기농요구르트(100ml*5입),플라스틱,,
요구르트,8801128281003,hy,HY_야쿠르트1971_750ML,플라스틱,,
요구르트,8809274512712,풀무원다논,풀무원 다논 그릭 달지않은 플레인 8입 95g*8,플라스틱,비닐류,
요구르트,8801128200103,hy,한국야쿠르트 쿠퍼스프리미엄 140ml*4,플라스틱,,
요구르트,8801115212027,서울우유협동조합,서울 목장요구르트 딸기 750ml,플라스틱,,
요구르트,8801155741600,동원에프앤비,덴마크 드링킹 요구르트 플레인 750ml,플라스틱,,
요구르트,8801115214021,서울우유협동조합,서울)앙팡요구르트 65*5ml,플라스틱,,
요구르트,8809274511302,풀무원다논,풀무원다논_액티비아0%플레인_90G*4,플라스틱,비닐류,
요구르트,8801155428624,동원에프앤비,동원소와나무_비피더스명장베리믹스_150ML*8,플라스틱,,
요구르트,8801121764749,매일유업,매일유업 상하 유기농요구르트플레인 400g,플라스틱,,
요구르트,8801069406855,남양유업,남양 이오 기획팩 80ml*10,플라스틱,,
요구르트,8801104240581,빙그레,빙그레 키즈짜먹는딸기요플레 40g*6,비닐류,,
요구르트,8801121036488,매일유업,매일_바이오그릭요거트플레인_800G,플라스틱,,
요구르트,8801115213024,서울우유협동조합,서울우유 비요뜨 크런치볼 2입 143g*2,플라스틱,비닐류,
요구르트,8809274511753,풀무원다논,풀무원 다논 액티비아딸기복숭아(8입),플라스틱,비닐류,
요구르트,8801104240284,빙그레,빙그레 요플레딸기(홈) 200g,플라스틱,비닐류,
요구르트,8809274510169,풀무원다논,풀무원 아이러브 복숭아 80g*4,플라스틱,비닐류,
요구르트,8801069212715,남양유업,남양유업 이오하이 80ml*5,플라스틱,,
요구르트,8801157491985,일동후디스,일동후디스 그릭요거트 플레인 450g,플라스틱,,
요구르트,8809274510046,풀무원다논,풀무원 다논 액티비아플레인 130ml*4,플라스틱,,
요구르트,8801121763773,매일유업,매일유업 바이오 블루베리 85g*4,플라스틱,비닐류,
